                  num Nodes  Wall tot
=====================================
total...............      4     271.4

                  num Nodes  Wall max  Wall min  Wall avg
=========================================================
total...............      4     271.4     271.4     271.4
findInternal........      4 2.534e-05 1.875e-05 2.143e-05
findPeriodic........      4 3.858e-05 2.647e-05 3.148e-05
readData............      4     163.3     163.3     163.3
particleBC..........      4     2.079     1.663     1.823
updateParticle......      4     58.17     16.69     30.02
locateParticles.....      4     12.06     9.105     10.22
sendPreprocess......      4     4.559    0.7829     3.129
particleSend........      4     13.76     1.456     4.816
particleDestroy.....      4    0.5897    0.5011    0.5374
particleRecv........      4     43.27    0.5227     11.31
solveWarmup.........      4    0.7854     0.691    0.7434
scatter.............      4     3.431      2.43     2.845
accumulateHalo......      4     1.964    0.9887     1.513
solve...............      4      29.9     29.46     29.68
fillHalo............      4      1.35     1.066     1.197
gather..............      4      1.51     1.221     1.296
dumpData............      4     2.216     1.674     2.052
pushVelocity........      4     2.024     1.625      1.78
pushPosition........      4     1.015     0.819    0.8946
update..............      4     61.67     60.85     61.32
loadBalance.........      4         0         0         0
