                  num Nodes  Wall tot
=====================================
total...............      4   2.6e+04

                  num Nodes  Wall max  Wall min  Wall avg
=========================================================
total...............      4   2.6e+04   2.6e+04   2.6e+04
findInternal........      4 1.724e-05 1.486e-05 1.584e-05
findPeriodic........      4  2.17e-05  2.02e-05 2.095e-05
Read Data...........      4     134.9     134.9     134.9
particleBC..........      4     28.75     23.95     25.95
updateParticle......      4     507.6     117.8     254.7
locateParticles.....      4     47.94     41.39     44.99
sendPreprocess......      4     60.71     49.28     56.99
particleSend........      4     164.3     7.567      47.8
particleDestroy.....      4     3.759     2.892     3.145
particleRecv........      4       399     2.564     101.8
solveWarmup.........      4     49.69      49.1     49.39
scatter.............      4     140.3       105     117.3
accumulateHalo......      4     39.23     5.484      27.5
solve...............      4 2.489e+04 2.488e+04 2.488e+04
fillHalo............      4     61.59     42.45     51.78
gather..............      4     124.9     92.61     103.1
dumpData............      4     41.63     4.965     29.01
pushVelocity........      4     33.59     28.16     30.58
pushPosition........      4        14     11.58     12.59
update..............      4       536     532.6     534.3
loadBalance.........      4         0         0         0
