residue,iterations
1.21584e-12,81
1.21112e-12,81
1.3736e-12,82
1.36582e-12,83
1.35078e-12,84
1.13449e-12,86
1.15588e-12,86
1.25672e-12,86
1.26963e-12,86
1.36766e-12,86
1.34653e-12,86
1.39793e-12,86
1.0699e-12,87
1.39891e-12,86
1.41577e-12,86
1.34558e-12,86
1.29355e-12,86
1.2802e-12,86
1.19933e-12,86
1.17907e-12,86
1.18953e-12,86
1.25545e-12,86
1.29115e-12,86
1.34152e-12,86
1.35871e-12,86
1.39704e-12,86
1.41798e-12,86
1.38404e-12,86
1.3575e-12,86
1.35767e-12,86
1.3146e-12,86
1.29499e-12,86
1.21579e-12,86
1.20075e-12,86
1.19506e-12,86
1.11319e-12,86
1.12989e-12,86
1.02886e-12,86
1.09387e-12,86
1.08604e-12,86
1.1892e-12,85
1.33308e-12,84
1.36613e-12,83
1.13162e-12,82
1.18204e-12,82
1.17106e-12,83
1.15244e-12,85
1.37574e-12,85
1.17784e-12,86
1.20231e-12,86
1.17416e-12,86
1.15503e-12,86
1.37262e-12,85
1.2668e-12,85
1.22008e-12,85
1.24584e-12,85
1.33425e-12,85
1.10228e-12,86
1.26802e-12,86
1.36057e-12,86
1.04502e-12,87
1.06677e-12,87
1.11583e-12,87
1.14589e-12,87
1.17043e-12,87
1.18624e-12,87
1.14489e-12,87
1.20534e-12,87
1.29675e-12,86
1.42943e-12,86
1.40589e-12,86
1.20295e-12,86
1.37603e-12,86
1.10203e-12,87
1.24978e-12,86
1.29958e-12,86
1.32894e-12,86
1.27689e-12,86
1.06014e-12,86
1.21034e-12,86
1.1356e-12,86
1.09263e-12,86
