>       Size                  Spacing           Relative Error                  Residue     Iterations
>          4       0.3333333333333333      0.01815243606182023     3.14018491736755e-16              1
>          8       0.1428571428571428      7.1261370837466e-06    8.090079429303875e-16              3
>         16      0.06666666666666667    1.311586368706921e-09    3.187763591618006e-16              7
>         32      0.03225806451612903    1.946865761913135e-13    5.352402634446608e-16             15
>         64      0.01587301587301587    8.912297904497962e-16    9.720066511831147e-15             30
>        128     0.007874015748031496    3.908893315557616e-15    1.108539199896024e-14             59
>        256      0.00392156862745098    3.208620495225531e-15    1.022728729138044e-14            119
>       1024    0.0009775171065493646    1.268503129147673e-14     7.06027027003914e-15            474
>       2048    0.0004885197850512946    1.520631397917982e-14    5.214730083058002e-15           1837
