>       Size                  Spacing           Relative Error                  Residue     Iterations
>          4       0.3333333333333333       0.7899825832289612    7.850462293418876e-17              1
>          8       0.1428571428571428       0.7036394346146777    1.441713410939267e-18             10
>         16      0.06666666666666667       0.6676539726753054    7.096811853550194e-15             27
>         32      0.03225806451612903       0.6518612527343627    3.862728708100302e-15             59
