                  num Nodes  Wall tot
=====================================
total...............      4      3.36

                  num Nodes  Wall max  Wall min  Wall avg
=========================================================
total...............      4      3.36     3.338     3.352
findInternal........      4 3.081e-05 1.883e-05 2.222e-05
findPeriodic........      4 4.098e-05 2.867e-05 3.276e-05
readData............      4  0.004448  0.004435  0.004442
particleBC..........      4   0.01054   0.01005   0.01027
updateParticle......      4    0.3205    0.2927    0.3017
locateParticles.....      4   0.04814   0.04572   0.04682
sendPreprocess......      4    0.1658    0.1591    0.1631
particleSend........      4   0.03379   0.01658   0.02746
particleDestroy.....      4   0.01391  0.005312   0.01122
particleRecv........      4   0.08251   0.02486   0.04423
solveWarmup.........      4   0.08001   0.07999      0.08
scatter.............      4  0.007917  0.007666  0.007799
accumulateHalo......      4    0.9726    0.9145    0.9442
solve...............      4    0.7053    0.7018    0.7033
fillHalo............      4    0.9669    0.9189    0.9449
gather..............      4  0.008201  0.007896   0.00804
dumpData............      4    0.1438   0.09326    0.1161
pushVelocity........      4   0.01484   0.01364   0.01415
pushPosition........      4  0.007048  0.006811  0.006944
update..............      4    0.3344    0.3317    0.3328
loadBalance.........      4         0         0         0
