x,y,vx,vy
1.51493,1.27882,-0.768061,-0.998795
1.41246,2.86734,0.404768,-0.962317
1.2595,2.61953,0.93021,-0.727848
1.82267,1.48496,-0.998805,-0.5287
1.34994,2.21373,0.62206,-0.89083
1.93717,2.07783,0.242058,-0.196099
1.30861,2.74678,0.71415,-0.824524
1.11324,2.53888,0.992463,-0.348259
1.16932,1.6622,-0.872859,-0.507142
1.74987,1.54844,-0.988387,-0.707318
1.43749,2.8344,0.497057,-0.980692
1.18758,1.66112,-0.874523,-0.555734
1.90217,1.8121,-0.556565,-0.302517
1.20443,2.5895,0.960627,-0.598957
1.79432,1.761,-0.682224,-0.602071
1.98527,2.86865,0.401003,-0.0462606
1.01244,1.07622,-0.237132,-0.0390608
1.87264,1.06088,-0.190077,-0.389484
1.79723,2.4775,0.997395,-0.59474
1.88313,2.10931,0.336658,-0.358935
1.71112,1.30125,-0.811227,-0.787913
1.75444,1.42762,-0.974151,-0.697114
1.31112,1.72198,-0.766494,-0.828959
1.87084,1.50408,-0.999822,-0.394694
1.1533,1.72933,-0.751478,-0.463163
1.78485,2.3959,0.946957,-0.625586
1.36296,1.37765,-0.926969,-0.908664
1.88793,1.31669,-0.838629,-0.344809
1.6385,2.70614,0.797443,-0.906723
1.30185,2.39696,0.947996,-0.812332
1.63911,2.74271,0.723064,-0.905911
1.31455,1.12692,-0.388207,-0.834983
1.39677,1.17866,-0.532223,-0.94777
1.01409,1.63202,-0.915117,-0.0442404
1.27845,2.59758,0.953278,-0.767312
1.53115,1.74469,-0.718758,-0.995119
1.34929,1.69943,-0.810009,-0.889889
1.67063,2.78663,0.621184,-0.859635
1.06309,2.87435,0.384549,-0.196884
1.59027,2.46496,0.993862,-0.959968
1.18093,2.05638,0.176175,-0.53825
1.23737,2.22438,0.647928,-0.678428
1.80678,2.77185,0.656894,-0.570385
1.42273,2.98519,0.04651,-0.970615
1.77103,1.95855,-0.129854,-0.658824
1.20179,1.30666,-0.821082,-0.592259
1.80971,1.04501,-0.14092,-0.562792
1.33847,2.16649,0.499459,-0.873917
1.96748,2.22792,0.656329,-0.101992
1.64105,1.92504,-0.233306,-0.903329
1.14969,2.01071,0.0336512,-0.453096
1.30293,1.8386,-0.485582,-0.814307
1.40187,2.73818,0.732786,-0.952764
1.68477,2.57175,0.974593,-0.836118
1.15277,2.29961,0.808218,-0.461676
1.59912,2.34543,0.884304,-0.951807
1.79803,2.84132,0.478079,-0.592724
1.86511,1.96093,-0.122431,-0.411171
1.06443,2.53659,0.993341,-0.201007
1.93475,2.35609,0.89947,-0.203529
1.3012,2.07362,0.229206,-0.811131
1.31514,1.75295,-0.700497,-0.835974
1.36546,2.01834,0.0575845,-0.911893
1.36739,1.2875,-0.785243,-0.914399
1.16141,2.05431,0.169773,-0.48558
1.38314,1.30845,-0.824251,-0.933296
1.40622,1.85384,-0.443172,-0.95683
1.82251,2.58087,0.967792,-0.529104
1.73324,2.72923,0.751621,-0.743255
1.81682,2.76856,0.664626,-0.544196
1.12621,2.32437,0.851548,-0.386166
1.65817,1.48514,-0.998837,-0.879011
1.39959,2.97588,0.0756924,-0.950611
1.56028,1.3616,-0.906898,-0.982014
1.3117,2.88194,0.362444,-0.829999
1.55293,1.28182,-0.774106,-0.986097
1.12982,2.80337,0.579153,-0.396593
1.59963,1.55882,-0.982883,-0.951306
1.37096,2.94461,0.173129,-0.918856
1.52612,2.24143,0.687759,-0.996577
1.15049,2.50207,0.999867,-0.455318
1.80089,2.16901,0.506339,-0.585484
1.00736,2.08635,0.26792,-0.0231067
1.86693,2.94475,0.172681,-0.405934
1.67839,1.65422,-0.884806,-0.846928
1.39558,1.54178,-0.991341,-0.946571
1.81194,1.77492,-0.649591,-0.556973
1.81956,2.12456,0.381358,-0.536941
1.00011,2.72853,0.753066,-0.00034099
1.66967,2.16088,0.484169,-0.861174
1.33722,1.98294,-0.0535608,-0.872032
1.55898,2.55539,0.984799,-0.98279
1.48396,1.23376,-0.670077,-0.998631
1.85511,2.83869,0.485316,-0.439609
1.48455,2.42112,0.969373,-0.998735
1.42665,1.51826,-0.998298,-0.973462
1.41518,2.81071,0.5602,-0.964653
1.49616,1.15393,-0.464912,-0.999833
1.30076,2.9118,0.273534,-0.810328
1.28101,1.69504,-0.817997,-0.772473
1.32004,1.66558,-0.867658,-0.844327
1.51117,2.39424,0.945222,-0.999305
1.70348,2.48107,0.998155,-0.802466
1.34614,2.94051,0.185787,-0.885371
1.91599,1.70625,-0.797287,-0.260858
1.74102,1.46928,-0.995268,-0.726686
1.06898,1.6892,-0.828435,-0.214993
1.70762,1.61967,-0.930124,-0.794646
1.91734,2.98561,0.0451954,-0.256757
1.90902,1.18042,-0.53692,-0.28193
1.78121,2.53677,0.993282,-0.634415
1.56399,2.38255,0.932602,-0.979803
1.18751,1.81449,-0.550319,-0.555572
1.6222,2.41441,0.963965,-0.927114
1.84393,2.21257,0.619191,-0.470859
1.89954,2.0374,0.117199,-0.310349
1.59761,1.43838,-0.981259,-0.953274
1.29579,2.20679,0.604854,-0.801091
1.07674,2.68787,0.830759,-0.238733
1.22702,2.27804,0.766526,-0.654231
1.44926,1.75894,-0.686904,-0.987224
1.72268,1.6444,-0.898779,-0.765062
1.39099,2.2774,0.765231,-0.941858
1.36683,2.94269,0.17905,-0.913673
1.90235,1.99676,-0.0101906,-0.301959
1.4502,1.52219,-0.99746,-0.987677
1.04386,2.70505,0.799511,-0.137352
1.28786,2.30245,0.813481,-0.785947
1.371,2.53723,0.993131,-0.9189
1.91188,1.4258,-0.972858,-0.273279
1.30913,2.41467,0.964181,-0.825455
1.95092,2.92426,0.235677,-0.153556
1.00976,2.15554,0.469382,-0.0306551
1.0081,2.61075,0.939975,-0.0254506
1.92922,1.39857,-0.949585,-0.220503
1.38845,1.75311,-0.700134,-0.93911
1.34442,1.96541,-0.108442,-0.882865
1.76797,2.97946,0.064476,-0.666054
1.35556,2.35705,0.900808,-0.898707
1.47041,1.40574,-0.95638,-0.995639
1.05479,2.16549,0.496731,-0.171282
1.86954,1.8901,-0.338401,-0.398443
1.57132,1.12452,-0.381262,-0.974931
1.1281,2.77766,0.642995,-0.391618
1.52306,1.4173,-0.966356,-0.997276
1.61116,2.36079,0.905777,-0.939584
1.35446,1.96286,-0.116411,-0.897208
1.18408,1.56951,-0.976146,-0.54654
1.17567,2.11728,0.360117,-0.524229
1.76417,1.84141,-0.477821,-0.674868
1.11142,1.54971,-0.987773,-0.342903
1.67832,2.96808,0.100115,-0.847053
1.76475,2.54795,0.98857,-0.673521
1.51303,2.1687,0.505495,-0.999053
1.83538,1.6303,-0.917278,-0.494367
1.30118,2.20237,0.593741,-0.811099
1.1829,2.822,0.530459,-0.543445
1.42267,1.80594,-0.572525,-0.970568
1.55535,2.07397,0.230289,-0.984836
1.78372,2.8079,0.567456,-0.628328
1.45279,2.22613,0.652082,-0.988928
1.22734,1.36121,-0.906389,-0.654995
1.21266,2.37004,0.91771,-0.619448
1.03644,2.37003,0.917698,-0.114212
1.08283,2.98246,0.0550692,-0.25727
1.93067,1.85163,-0.449382,-0.216055
1.87947,1.66328,-0.871197,-0.369648
1.59335,2.36831,0.915531,-0.957205
1.43519,1.58748,-0.962409,-0.979236
1.33063,2.68945,0.827964,-0.861686
1.03481,1.7324,-0.745019,-0.109142
1.81639,2.73055,0.748893,-0.545331
1.50168,1.57936,-0.969014,-0.99994
1.9769,2.54747,0.988803,-0.0725099
