                  num Nodes  Wall tot
=====================================
total...............      2     27.58

                  num Nodes  Wall max  Wall min  Wall avg
=========================================================
total...............      2     27.58     27.56     27.57
findInternal........      2 1.254e-05 1.254e-05 1.254e-05
findPeriodic........      2 1.944e-05  1.84e-05 1.892e-05
Read Data...........      2    0.5599    0.5594    0.5597
particleBC..........      2    0.0381   0.03629   0.03719
updateParticle......      2     1.686     1.257     1.472
locateParticles.....      2    0.1383    0.1148    0.1266
sendPreprocess......      2    0.6966    0.4754     0.586
particleSend........      2     0.364    0.1615    0.2627
particleDestroy.....      2    0.2269    0.1957    0.2113
particleRecv........      2     0.493   0.07506     0.284
solveWarmup.........      2    0.1161    0.1121    0.1141
scatter.............      2    0.7152    0.5073    0.6113
accumulateHalo......      2    0.9448    0.9234    0.9341
solve...............      2     21.29     21.27     21.28
fillHalo............      2    0.8942    0.8801    0.8872
gather..............      2    0.2226    0.2066    0.2146
dumpData............      2    0.3581    0.3509    0.3545
pushVelocity........      2    0.4096    0.1828    0.2962
pushPosition........      2   0.04817   0.01732   0.03274
update..............      2     1.695     1.439     1.567
loadBalance.........      2         0         0         0
