residue,iterations
8.10518e-12,70
7.9447e-12,70
9.22637e-12,70
8.56283e-12,70
8.48402e-12,69
8.0614e-12,69
9.1566e-12,69
7.50179e-12,70
7.7453e-12,70
8.72958e-12,70
7.70373e-12,70
9.0629e-12,69
9.06885e-12,69
9.23852e-12,69
8.07048e-12,70
9.54841e-12,70
8.82067e-12,70
9.91755e-12,69
8.32475e-12,70
9.69026e-12,70
8.08264e-12,71
1.02484e-11,70
7.92683e-12,70
7.78887e-12,70
1.03977e-11,69
9.69782e-12,70
8.0282e-12,71
7.68093e-12,71
1.05479e-11,70
7.78338e-12,71
7.55355e-12,71
7.57512e-12,71
7.87611e-12,71
7.80187e-12,71
7.70253e-12,71
7.75944e-12,71
7.58278e-12,71
7.52686e-12,71
7.48475e-12,71
7.45211e-12,71
7.27068e-12,71
7.15052e-12,71
7.14086e-12,71
9.93062e-12,70
8.4119e-12,70
8.00826e-12,70
7.9379e-12,70
8.61254e-12,70
9.44249e-12,70
9.97852e-12,69
7.82121e-12,69
8.15666e-12,70
1.00503e-11,70
1.00557e-11,70
9.7987e-12,70
9.04301e-12,70
9.36062e-12,70
7.30601e-12,71
1.03519e-11,70
7.31082e-12,71
7.58952e-12,71
1.03673e-11,70
1.0362e-11,70
7.46598e-12,71
7.81517e-12,71
7.96459e-12,71
7.74249e-12,71
7.56777e-12,71
1.03384e-11,70
1.05306e-11,70
7.77858e-12,71
7.45322e-12,71
1.00155e-11,70
9.88689e-12,70
1.01171e-11,70
1.01569e-11,70
7.44973e-12,71
7.51166e-12,71
7.5862e-12,71
7.62978e-12,71
7.49618e-12,71
7.31893e-12,71
