Size,richardson,gauss-seidel,ssor,CG
64,0.0009277485090800777,0.0009277485090801607,0.0009277485090644358,0.0009277485090803542
128,0.0002317313213513453,0.0002317313213513291,0.0002317313213520525,0.0002317313213517227
256,5.791999427154192e-05,5.791999427176127e-05,5.79199942732111e-05,5.791999427218441e-05
512,1.447919673037301e-05,1.447919673100726e-05,1.447919673108074e-05,1.447919673190937e-05
