                  num Nodes  Wall tot
=====================================
total...............     16     36.73

                  num Nodes  Wall max  Wall min  Wall avg
=========================================================
total...............     16     36.73     36.71     36.72
findInternal........     16 2.492e-05 7.247e-06 1.713e-05
findPeriodic........     16 3.928e-05 2.031e-05  2.94e-05
Read Data...........     16   0.07305   0.05766   0.06802
particleBC..........     16   0.02383   0.01274    0.0167
updateParticle......     16      16.5     15.46     15.77
locateParticles.....     16   0.01337  0.007674    0.0116
sendPreprocess......     16     15.94     15.25     15.43
particleSend........     16    0.1784   0.05043    0.1059
particleDestroy.....     16   0.05548    0.0135   0.03076
particleRecv........     16    0.4924   0.01188    0.1934
solveWarmup.........     16   0.08181   0.06722   0.07479
scatter.............     16   0.02203   0.01247   0.01648
accumulateHalo......     16     2.069     1.462     1.729
solve...............     16     7.945     7.797     7.856
fillHalo............     16     1.937      1.69     1.821
gather..............     16  0.007796  0.004879  0.006075
dumpData............     16     1.825     1.367     1.569
pushVelocity........     16     1.096    0.6071    0.9675
pushPosition........     16  0.007403   0.00471  0.005773
update..............     16     17.58     16.86     17.07
loadBalance.........     16         0         0         0
