residue,iterations
1.35987e-12,73
1.28663e-12,76
1.07178e-12,77
1.12546e-12,77
1.18796e-12,77
1.21592e-12,77
1.32188e-12,77
1.28147e-12,77
1.28006e-12,77
1.30626e-12,77
1.32302e-12,77
1.29634e-12,77
1.24845e-12,77
1.22312e-12,77
1.19159e-12,77
1.08496e-12,77
9.8261e-13,77
1.27743e-12,76
1.11142e-12,76
1.18954e-12,76
1.41287e-12,76
9.99692e-13,77
1.03114e-12,77
1.02226e-12,77
1.04431e-12,77
1.03262e-12,77
1.04703e-12,77
1.03151e-12,77
1.06102e-12,77
1.05907e-12,77
1.04226e-12,77
1.04437e-12,77
1.0326e-12,77
1.00173e-12,77
1.40624e-12,76
1.34055e-12,76
1.28249e-12,76
1.22966e-12,76
1.22099e-12,76
1.23247e-12,76
1.28895e-12,76
1.28575e-12,76
1.24415e-12,74
1.38377e-12,73
1.28059e-12,76
1.10918e-12,77
1.13995e-12,77
1.08357e-12,77
1.08645e-12,77
1.03199e-12,77
9.83543e-13,77
9.42933e-13,77
1.43336e-12,76
1.20949e-12,76
1.4514e-12,75
1.23427e-12,76
1.37988e-12,76
1.46919e-12,76
9.83008e-13,77
1.02128e-12,77
9.94125e-13,77
1.04792e-12,77
1.12033e-12,77
1.09287e-12,77
1.0874e-12,77
1.1458e-12,77
1.17252e-12,77
1.11856e-12,77
1.11286e-12,77
1.1051e-12,77
1.1355e-12,77
1.1479e-12,77
1.11376e-12,77
1.11086e-12,77
1.06341e-12,77
1.04009e-12,77
1.02507e-12,77
9.65573e-13,77
1.39263e-12,76
1.39858e-12,76
1.32547e-12,76
