 num_nodes             cell_spacing        interp_error_coef              recon_error           solver_residue        num_it
        16       0.1333333333333333       0.0229274825820767      0.01381978081664787    8.951755922528772e-14             23
        22      0.09523809523809523      0.01170972220030054     0.006385691191672534    3.947408685016156e-14             36
        31      0.06666666666666667     0.005740894246901332      0.00312265473395163    1.421339178913763e-14             56
        43      0.04761904761904762     0.002929779215588488     0.001703524099767691    1.533380512540152e-14             81
        60      0.03389830508474576     0.001484864024321864    0.0008947443191599635    7.991067509858669e-15            119
        84      0.02409638554216868    0.0007503495200231811    0.0004217761086009499    5.020780819002567e-15            170
       118       0.0170940170940171    0.0003776268155896863    0.0002281713702643303     3.01842301868393e-15            267
       166      0.01212121212121212    0.0001898777576887989    0.0001123440425184588    2.076556197930081e-15            382
       234     0.008583690987124463    9.522124805429642e-05    5.757695299952842e-05    1.210081620989787e-15            640
       330       0.0060790273556231    4.775905500024204e-05    2.854111993052247e-05    7.742723086900044e-16           1039
       466     0.004301075268817204    2.390800298819089e-05    1.371034429606495e-05    4.593275472515464e-16           2086
       659      0.00303951367781155    1.193981728212191e-05    6.425087338032003e-06    2.702223745599244e-16           3592
       931     0.002150537634408602    5.977292372365602e-06    3.446678637523041e-06    1.622050454532771e-16           5804
