 num_nodes             cell_spacing        interp_error_coef              recon_error           solver_residue        num_it
        16       0.1333333333333333      0.05125330941047652      0.04395313602330202    1.639703819590968e-13             13
        22      0.09523809523809523      0.02625882978056455      0.02301904431178895    1.594474385277134e-13             19
        31      0.06666666666666667      0.01289529922929267      0.01119186887486846    1.182747924875848e-13             29
        43      0.04761904761904762     0.006586076729617474     0.005672221872752285     9.58121424967004e-14             42
        60      0.03389830508474576     0.003339282878701801     0.002905320138306009    7.131341341262974e-14             61
        84      0.02409638554216868     0.001687791803336237     0.001476015572785535     5.23002838426742e-14             89
       118       0.0170940170940171    0.0008494994698498914    0.0007394752782740389    3.367226099483068e-14            165
       166      0.01212121212121212    0.0004271663711082272    0.0003692888936481508    1.745877320676505e-14            248
       234     0.008583690987124463    0.0002142240764225362    0.0001873785062067992    1.507683046248558e-14            335
       330       0.0060790273556231    0.0001074474097402587    8.881045313481633e-05    1.319210863974279e-14           1026
       466     0.004301075268817204    5.378803511638205e-05    4.591213466519915e-05    9.287266278524512e-15           1609
       659      0.00303951367781155    2.686221132126041e-05    2.349885688754309e-05    6.587128604764871e-15           2963
       931     0.002150537634408602    1.344708969596767e-05    1.177276878945129e-05    4.648823228056566e-15           4261
