                  num Nodes  Wall tot
=====================================
total...............      2     12.16

                  num Nodes  Wall max  Wall min  Wall avg
=========================================================
total...............      2     12.16     12.16     12.16
findInternal........      2  1.59e-05 1.047e-05 1.319e-05
findPeriodic........      2 2.602e-05 2.013e-05 2.307e-05
readData............      2     3.072     3.072     3.072
particleBC..........      2   0.04558   0.03579   0.04068
updateParticle......      2     3.631     1.326     2.479
locateParticles.....      2    0.8878    0.7843    0.8361
sendPreprocess......      2    0.2491    0.1262    0.1876
particleSend........      2    0.1373    0.1335    0.1354
particleDestroy.....      2   0.08006   0.07901   0.07954
particleRecv........      2     2.396   0.06604     1.231
solveWarmup.........      2   0.07569   0.07266   0.07418
scatter.............      2   0.08787   0.07688   0.08238
accumulateHalo......      2    0.7155    0.6906    0.7031
solve...............      2     2.919     2.886     2.903
fillHalo............      2     0.739    0.7223    0.7306
gather..............      2   0.05482   0.04918     0.052
dumpData............      2    0.1465    0.1377    0.1421
pushVelocity........      2   0.06335    0.0571   0.06022
pushPosition........      2   0.03565   0.03234     0.034
update..............      2     3.986     3.978     3.982
loadBalance.........      2         0         0         0
