                  num Nodes  Wall tot
=====================================
total...............      8     194.7

                  num Nodes  Wall max  Wall min  Wall avg
=========================================================
total...............      8     194.7     194.6     194.7
findInternal........      8 4.491e-05 3.746e-05 4.085e-05
findPeriodic........      8 5.804e-05  5.03e-05 5.343e-05
readData............      8     103.3     103.3     103.3
particleBC..........      8     1.055    0.7978    0.9136
updateParticle......      8     47.85     15.84     30.89
locateParticles.....      8     11.38     8.725     10.11
sendPreprocess......      8      4.42     1.262     2.805
particleSend........      8     20.32     1.243     5.722
particleDestroy.....      8     0.386    0.3469    0.3647
particleRecv........      8     33.57    0.4749     11.88
solveWarmup.........      8    0.7087    0.6126    0.6713
scatter.............      8     2.238     1.707     1.935
accumulateHalo......      8     1.484     1.047     1.268
solve...............      8     18.63     18.29     18.45
fillHalo............      8     1.342     1.193     1.266
gather..............      8     1.835     1.632       1.7
dumpData............      8     1.191    0.8891     1.092
pushVelocity........      8     1.027    0.7765    0.8891
pushPosition........      8    0.5169    0.3929    0.4497
update..............      8     60.34     59.71     60.04
loadBalance.........      8         0         0         0
