                  num Nodes  Wall tot
=====================================
total...............     16     383.9

                  num Nodes  Wall max  Wall min  Wall avg
=========================================================
total...............     16     383.9     383.8     383.9
findInternal........     16 2.665e-05 7.233e-06 1.804e-05
findPeriodic........     16 4.986e-05 2.151e-05 3.022e-05
Read Data...........     16     1.533     1.516     1.524
particleBC..........     16   0.04431   0.02593   0.03344
updateParticle......     16     92.73     90.42     91.34
locateParticles.....     16    0.2639    0.1543    0.2067
sendPreprocess......     16     88.86     87.28     88.19
particleSend........     16     1.922     1.321     1.646
particleDestroy.....     16    0.2592    0.2172    0.2415
particleRecv........     16     1.886    0.3608     1.052
solveWarmup.........     16    0.5331    0.5059    0.5191
scatter.............     16     1.615    0.5756    0.8437
accumulateHalo......     16     3.614     2.956     3.266
solve...............     16     255.3     251.7     253.6
fillHalo............     16     10.33     7.502     8.728
gather..............     16     1.573     1.293     1.482
dumpData............     16     7.995      6.01     6.919
pushVelocity........     16     1.587     1.311     1.452
pushPosition........     16   0.02097   0.01264   0.01531
update..............     16     94.18      92.4     93.34
loadBalance.........     16         0         0         0
